Year;RoundName;League;PlayerID;Player;G;PA;AB;R;H;RBI;2B;3B;HR;TB;XBH;SB;CS;Pick;BB;SO;HBP;S;SF;IBB;GIDP;2-out RBI;CI;RLISC;LOB;Teamname;RISP;BA;OBP;SLG;OPS;SBPct;PA/BB;BB/SO;SO/AB
2020;VR;NLB;4508;Zöllig, Pa. CHA;2;8;5;1;2;0;1;0;0;3;1;2;0;0;3;1;0;0;0;0;0;0;0;3;4;Zürich Challengers II;0/2;0.4;0.625;0.6;1.225;1;2.67;3;0.2
2020;VR;NLB;6388;Kessler, Be. LIO;9;28;26;2;5;4;1;0;0;6;1;0;0;0;2;5;0;0;0;0;0;0;0;4;18;Zürich Lions;Mär 15;0.192;0.25;0.231;0.481;.---;14;0.4;0.19
2020;VR;NLB;7016;Meier, Se. FRO;17;36;27;8;4;7;0;0;0;4;0;4;0;0;7;11;2;0;0;0;1;3;0;4;24;Sissach Frogs;Jan 15;0.148;0.361;0.148;0.509;1;5.14;0.64;0.41
2020;VR;NLB;8168;Murphey, St. UNI;14;52;42;12;15;12;5;0;1;23;6;2;0;0;6;5;3;0;1;0;3;4;0;11;27;Hünenberg Unicorns;Aug 23;0.357;0.462;0.548;1.009;1;8.67;1.2;0.12
2020;VR;NLB;8174;Bernet Garcia, Ol. CHA;8;23;20;3;5;7;0;0;0;5;0;0;0;0;2;2;0;0;1;0;3;0;0;7;20;Zürich Challengers II;Mär 13;0.25;0.304;0.25;0.554;.---;11.5;1;0.1
2020;VR;NLB;8275;Motte, Ni. CHA;1;2;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;Zürich Challengers II;0/0;0;0.5;0;0.5;.---;-.--;0;1
2020;VR;NLB;8346;Pena Reyes, Ma. EAG;11;35;29;7;9;7;0;0;0;9;0;2;0;0;2;6;4;0;0;0;0;2;0;3;28;Luzern Eagles II;Mai 16;0.31;0.429;0.31;0.739;1;17.5;0.33;0.21
2020;VR;NLB;8727;Bättig Heredia, Fr. CHA;5;13;11;2;4;3;0;0;0;4;0;0;0;0;1;0;0;0;1;0;0;1;0;1;7;Zürich Challengers II;03. Jul;0.364;0.385;0.364;0.748;.---;13;-.--;0
2020;VR;NLB;9065;Sarmiento Reyes, Ad. CHA;9;34;23;13;9;7;2;0;0;11;2;10;1;0;10;2;1;0;0;0;1;3;0;1;10;Zürich Challengers II;05. Sep;0.391;0.588;0.478;1.066;0.909;3.4;5;0.09
2020;VR;NLB;9071;Brändli, Si. BAR;2;6;5;2;1;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;1;0;1;3;Zürich Barracudas II;0/2;0.2;0.333;0.2;0.533;1;6;1;0.2
